p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,BestFitness, CurLevel, BestOM, BestLOS
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,61,-1,61,3
0.54,0.53,0.5,0.54,0.49,0.54,0.49,0.52,0.56,0.47,0.56,0.56,0.56,0.5,0.56,0.5900000000000001,0.5800000000000001,0.47,0.56,0.53,0.45,0.48,0.53,0.56,0.52,0.51,0.48,0.53,0.53,0.54,0.54,0.49,0.56,0.49,0.54,0.51,0.54,0.51,0.55,0.54,0.5900000000000001,0.48,0.53,0.52,0.47,0.54,0.54,0.51,0.45,0.5900000000000001,0.53,0.55,0.56,0.52,0.47,0.56,0.54,0.5700000000000001,0.55,0.53,0.52,0.5,0.51,0.5900000000000001,0.51,0.5,0.55,0.55,0.49,0.48,0.47,0.52,0.55,0.52,0.52,0.52,0.49,0.49,0.5700000000000001,0.55,0.5700000000000001,0.49,0.52,0.52,0.54,0.54,0.51,0.5,0.54,0.5800000000000001,0.52,0.52,0.55,0.52,0.5,0.5,0.5,0.53,0.56,0.54,67,-1,67,0
0.56,0.535,0.54,0.5800000000000001,0.45499999999999996,0.5800000000000001,0.5449999999999999,0.5700000000000001,0.6000000000000001,0.515,0.56,0.5800000000000001,0.6100000000000001,0.5700000000000001,0.5800000000000001,0.605,0.64,0.505,0.5800000000000001,0.615,0.525,0.48,0.575,0.6100000000000001,0.52,0.565,0.52,0.615,0.545,0.5700000000000001,0.6000000000000001,0.505,0.5700000000000001,0.505,0.56,0.5449999999999999,0.5700000000000001,0.505,0.595,0.6000000000000001,0.635,0.52,0.5549999999999999,0.6000000000000001,0.44499999999999995,0.62,0.55,0.5549999999999999,0.455,0.655,0.565,0.585,0.5900000000000001,0.55,0.45499999999999996,0.54,0.6100000000000001,0.625,0.635,0.595,0.54,0.52,0.5549999999999999,0.645,0.535,0.55,0.635,0.605,0.515,0.49,0.495,0.52,0.585,0.54,0.6000000000000001,0.5900000000000001,0.515,0.495,0.595,0.585,0.585,0.46499999999999997,0.54,0.53,0.5700000000000001,0.5900000000000001,0.505,0.54,0.55,0.67,0.55,0.53,0.605,0.5,0.52,0.48,0.49,0.565,0.5700000000000001,0.56,67,-1,67,0
0.54,0.5075000000000001,0.55,0.6100000000000001,0.5075000000000001,0.6200000000000001,0.5425,0.575,0.66,0.5075000000000001,0.6100000000000001,0.5800000000000001,0.675,0.645,0.5700000000000001,0.6025,0.72,0.5225,0.55,0.6275,0.5325,0.52,0.6174999999999999,0.605,0.6000000000000001,0.5725,0.61,0.6975,0.5825,0.625,0.65,0.5225,0.575,0.5525,0.6200000000000001,0.5125,0.615,0.5225,0.6074999999999999,0.6400000000000001,0.6575,0.56,0.5874999999999999,0.67,0.46249999999999997,0.69,0.615,0.5774999999999999,0.4475,0.7175,0.5625,0.5825,0.645,0.555,0.5275,0.53,0.645,0.6525000000000001,0.6475,0.6375,0.56,0.54,0.6074999999999999,0.6925,0.6475,0.565,0.6875,0.6325000000000001,0.5275000000000001,0.505,0.4975,0.55,0.6625,0.53,0.6200000000000001,0.645,0.5475,0.5175000000000001,0.6975,0.6325000000000001,0.5625,0.4325,0.6000000000000001,0.575,0.5650000000000001,0.625,0.5625,0.6000000000000001,0.605,0.655,0.525,0.525,0.6525,0.5900000000000001,0.55,0.52,0.585,0.6525,0.545,0.6000000000000001,71,-1,71,1
0.5900000000000001,0.54375,0.585,0.615,0.5337500000000001,0.68,0.56125,0.5675,0.74,0.52375,0.645,0.6100000000000001,0.6675,0.6725,0.535,0.6012500000000001,0.76,0.53125,0.555,0.59375,0.5662499999999999,0.48,0.67875,0.6125,0.6300000000000001,0.61625,0.655,0.68875,0.69125,0.6625,0.7050000000000001,0.52125,0.6074999999999999,0.59625,0.6500000000000001,0.51625,0.6475,0.56125,0.64375,0.68,0.68875,0.5800000000000001,0.60375,0.665,0.50125,0.715,0.6174999999999999,0.6287499999999999,0.50375,0.77875,0.54125,0.64125,0.7125,0.5475000000000001,0.53375,0.5549999999999999,0.6925,0.66625,0.67375,0.65875,0.5700000000000001,0.56,0.63375,0.7262500000000001,0.6637500000000001,0.6225,0.71375,0.63625,0.59375,0.5125,0.48875,0.575,0.72125,0.585,0.66,0.7225,0.58375,0.5487500000000001,0.73875,0.68625,0.57125,0.39625,0.6400000000000001,0.5774999999999999,0.6125,0.6525000000000001,0.6012500000000001,0.66,0.6925,0.6075,0.48250000000000004,0.5025,0.67625,0.675,0.575,0.56,0.6125,0.7262500000000001,0.5425,0.6400000000000001,72,-1,72,9
0.635,0.501875,0.5825,0.6275,0.606875,0.73,0.580625,0.61375,0.8300000000000001,0.5418750000000001,0.6825,0.635,0.7537499999999999,0.66625,0.5475000000000001,0.590625,0.81,0.555625,0.5875,0.646875,0.533125,0.51,0.709375,0.62625,0.635,0.668125,0.6775,0.724375,0.765625,0.6812499999999999,0.7025,0.530625,0.68375,0.648125,0.6950000000000001,0.558125,0.65375,0.580625,0.641875,0.69,0.744375,0.6000000000000001,0.631875,0.6625000000000001,0.500625,0.7175,0.6487499999999999,0.694375,0.571875,0.849375,0.600625,0.680625,0.7462500000000001,0.52375,0.626875,0.5774999999999999,0.7262500000000001,0.723125,0.7168749999999999,0.679375,0.5650000000000001,0.63,0.6568750000000001,0.733125,0.701875,0.6512500000000001,0.736875,0.638125,0.6168750000000001,0.50625,0.544375,0.6375,0.710625,0.6525,0.6799999999999999,0.80125,0.631875,0.5943750000000001,0.759375,0.733125,0.565625,0.388125,0.6300000000000001,0.6287499999999999,0.62625,0.67625,0.600625,0.71,0.7262500000000001,0.60375,0.49125,0.47124999999999995,0.718125,0.6775,0.5675,0.5900000000000001,0.59625,0.753125,0.58125,0.6300000000000001,77,-1,77,0
0.6275,0.5609375,0.6212500000000001,0.61375,0.6834375,0.755,0.6003125,0.6268750000000001,0.855,0.5709375000000001,0.76125,0.6575,0.806875,0.703125,0.60375,0.5853124999999999,0.855,0.5278125,0.58375,0.7034374999999999,0.5665625,0.595,0.7346874999999999,0.6331249999999999,0.6575,0.6740625,0.68875,0.7521875,0.7828125,0.710625,0.78125,0.6253124999999999,0.681875,0.6440625,0.6975,0.6090625000000001,0.676875,0.6103125,0.6409374999999999,0.735,0.7721875,0.65,0.6859375,0.70125,0.5203125,0.67875,0.694375,0.7071875,0.6359375,0.8846875000000001,0.6203125,0.6903125,0.8131250000000001,0.5418750000000001,0.7134375,0.54875,0.733125,0.7115625,0.7784374999999999,0.6796875,0.6325000000000001,0.685,0.6684375,0.7265625,0.7309375,0.685625,0.7684375,0.6290625000000001,0.6784375,0.543125,0.5321875,0.65875,0.6953125,0.73625,0.7,0.8106249999999999,0.6459375,0.6171875,0.8096875,0.7665625,0.6128125,0.4440625,0.645,0.6443749999999999,0.643125,0.688125,0.6403125000000001,0.705,0.763125,0.641875,0.545625,0.47562499999999996,0.7490625,0.72875,0.61375,0.625,0.588125,0.8165625000000001,0.610625,0.665,77,-1,77,0
0.65375,0.57046875,0.7106250000000001,0.6168750000000001,0.79171875,0.7875,0.58015625,0.6734375,0.8674999999999999,0.57546875,0.8106249999999999,0.69875,0.8234375,0.7315625,0.701875,0.6326562499999999,0.8875,0.5739062500000001,0.621875,0.75171875,0.61328125,0.5874999999999999,0.74734375,0.6565624999999999,0.66875,0.67703125,0.724375,0.78609375,0.80140625,0.7253125,0.860625,0.69265625,0.7009375,0.64203125,0.66875,0.67453125,0.6984375,0.6451562500000001,0.70046875,0.7375,0.76609375,0.7050000000000001,0.73296875,0.7206250000000001,0.52015625,0.709375,0.7571874999999999,0.7535937500000001,0.67796875,0.91234375,0.61015625,0.73515625,0.8465625000000001,0.6009375000000001,0.7867187499999999,0.524375,0.7165625,0.7457812500000001,0.8292187499999999,0.71984375,0.70625,0.6925,0.6542187500000001,0.72328125,0.75546875,0.6928125,0.77421875,0.65453125,0.69921875,0.5315624999999999,0.55609375,0.689375,0.70765625,0.7181249999999999,0.72,0.7753125,0.69296875,0.61859375,0.85484375,0.75328125,0.65640625,0.43203125,0.6525000000000001,0.6721874999999999,0.6815625,0.7040625,0.71015625,0.7124999999999999,0.7915625,0.6809375,0.5928125,0.46781249999999996,0.77453125,0.724375,0.6268750000000001,0.6525000000000001,0.6040625,0.8482812500000001,0.6553125,0.7025,83,-1,83,1
0.6568750000000001,0.5352343749999999,0.7953125000000001,0.6184375,0.815859375,0.78375,0.620078125,0.7267187500000001,0.88375,0.627734375,0.8553124999999999,0.739375,0.88171875,0.72578125,0.7509375,0.676328125,0.90375,0.586953125,0.6909375,0.775859375,0.676640625,0.6437499999999999,0.773671875,0.69828125,0.714375,0.698515625,0.7521875,0.793046875,0.8007031250000001,0.75265625,0.9103125,0.736328125,0.72046875,0.6310156250000001,0.684375,0.697265625,0.69921875,0.682578125,0.780234375,0.8087500000000001,0.8030468749999999,0.7525000000000001,0.7864843749999999,0.7303125,0.560078125,0.7546875,0.80859375,0.756796875,0.688984375,0.9161718750000001,0.675078125,0.797578125,0.87328125,0.6804687500000001,0.793359375,0.5321875,0.69828125,0.7828906250000001,0.8846093749999999,0.7499218750000001,0.743125,0.7262500000000001,0.6371093750000001,0.771640625,0.807734375,0.74640625,0.797109375,0.697265625,0.749609375,0.52578125,0.558046875,0.7246874999999999,0.763828125,0.6790624999999999,0.74,0.7476562499999999,0.706484375,0.679296875,0.877421875,0.776640625,0.708203125,0.466015625,0.67625,0.6760937499999999,0.7207812499999999,0.72203125,0.765078125,0.68625,0.8257812499999999,0.68046875,0.6364062500000001,0.41390625,0.7872656250000001,0.8021875,0.6834375,0.69625,0.69203125,0.894140625,0.70765625,0.76125,86,-1,86,4
0.6984375,0.5676171875,0.83765625,0.67921875,0.8079296875,0.8018749999999999,0.6500390625000001,0.753359375,0.901875,0.6838671875,0.87765625,0.7296875,0.900859375,0.722890625,0.80546875,0.6881640625,0.941875,0.6234765625,0.7554687499999999,0.8279296875,0.6983203124999999,0.671875,0.7968359375,0.6891406250000001,0.7771874999999999,0.7392578125,0.8160937500000001,0.8065234375,0.7803515625,0.796328125,0.9251562499999999,0.7881640624999999,0.760234375,0.6755078125,0.6821875,0.7386328125,0.739609375,0.6612890625000001,0.8001171874999999,0.8543750000000001,0.8415234375,0.7662500000000001,0.8032421875,0.74515625,0.6200390625000001,0.76734375,0.874296875,0.7883984374999999,0.7244921875,0.8980859375000001,0.7275390625,0.8487890625000001,0.906640625,0.750234375,0.8466796875,0.52609375,0.729140625,0.8414453125000001,0.8723046875,0.7849609375,0.7615625,0.7731250000000001,0.6585546875000001,0.7858203125000001,0.8738671874999999,0.793203125,0.8185546875,0.6786328125000001,0.7948046875,0.592890625,0.5890234375000001,0.72234375,0.7919140625,0.6595312499999999,0.78,0.753828125,0.6932421875000001,0.7096484375000001,0.9087109375,0.8183203125,0.7641015625,0.49300781250000003,0.698125,0.728046875,0.750390625,0.761015625,0.8125390625,0.763125,0.8628906249999999,0.740234375,0.638203125,0.396953125,0.7736328125,0.84109375,0.68171875,0.718125,0.716015625,0.9370703125,0.7538281250000001,0.8106249999999999,86,-1,86,4
