p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,BestFitness, CurLevel, BestOM, BestLOS
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,-1,46,4
0.6,0.6,0.46,0.38,0.54,0.48,0.48,0.48,0.54,0.56,0.56,0.38,0.46,0.52,0.58,0.44,0.5,0.54,0.42,0.62,0.52,0.7,0.48,0.46,0.48,0.56,0.56,0.48,0.38,0.58,0.46,0.44,0.52,0.34,0.42,0.68,0.34,0.6,0.48,0.48,0.54,0.42,0.62,0.5,0.46,0.5,0.52,0.62,0.56,0.44,0.42,0.54,0.5,0.46,0.48,0.46,0.38,0.54,0.54,0.52,0.56,0.46,0.5,0.42,0.5,0.42,0.42,0.52,0.42,0.54,0.5,0.64,0.52,0.54,0.68,0.52,0.6,0.56,0.46,0.46,0.46,0.62,0.52,0.48,0.6,0.42,0.52,0.58,0.62,0.44,0.62,0.64,0.52,0.48,0.4,0.46,0.6,0.46,0.5,0.4,9,1,45,8
0.99,0.99,0.44,0.5,0.62,0.48,0.48,0.5,0.56,0.58,0.54,0.32,0.42,0.56,0.6,0.42,0.54,0.56,0.38,0.7,0.58,0.74,0.52,0.52,0.48,0.46,0.64,0.5,0.4,0.54,0.38,0.46,0.56,0.3,0.46,0.62,0.2,0.68,0.46,0.48,0.6,0.44,0.58,0.42,0.48,0.52,0.56,0.58,0.52,0.38,0.48,0.42,0.52,0.56,0.5,0.46,0.42,0.54,0.52,0.52,0.48,0.44,0.5,0.42,0.58,0.34,0.44,0.5,0.52,0.56,0.48,0.66,0.56,0.6,0.62,0.48,0.62,0.52,0.46,0.46,0.42,0.62,0.52,0.44,0.7,0.5,0.58,0.5,0.66,0.46,0.6,0.66,0.62,0.48,0.42,0.48,0.52,0.5,0.4,0.38,10,1,62,11
0.99,0.99,0.88,0.88,0.6,0.56,0.54,0.52,0.6,0.52,0.62,0.36,0.36,0.52,0.56,0.42,0.44,0.56,0.36,0.72,0.64,0.74,0.4,0.42,0.56,0.4,0.62,0.44,0.34,0.64,0.32,0.44,0.6,0.3,0.56,0.66,0.14,0.66,0.52,0.36,0.68,0.56,0.58,0.34,0.46,0.58,0.68,0.56,0.62,0.38,0.52,0.42,0.54,0.5,0.54,0.44,0.5,0.54,0.6,0.5,0.4,0.38,0.44,0.42,0.58,0.2,0.48,0.5,0.46,0.58,0.44,0.72,0.52,0.58,0.6,0.5,0.54,0.64,0.46,0.6,0.38,0.66,0.42,0.48,0.72,0.54,0.58,0.5,0.58,0.36,0.56,0.66,0.56,0.4,0.5,0.6,0.4,0.44,0.38,0.3,12,3,56,13
0.99,0.99,0.99,0.99,0.98,0.98,0.62,0.66,0.6,0.5,0.66,0.36,0.24,0.48,0.5,0.32,0.44,0.42,0.3,0.74,0.56,0.8,0.32,0.4,0.64,0.38,0.62,0.44,0.4,0.6,0.36,0.44,0.58,0.3,0.5,0.66,0.14,0.62,0.54,0.26,0.72,0.5,0.54,0.28,0.52,0.56,0.7,0.52,0.62,0.28,0.46,0.38,0.4,0.38,0.48,0.46,0.48,0.54,0.62,0.68,0.38,0.46,0.44,0.5,0.62,0.14,0.5,0.48,0.48,0.66,0.58,0.72,0.66,0.56,0.78,0.5,0.5,0.68,0.46,0.66,0.34,0.74,0.44,0.44,0.72,0.52,0.48,0.46,0.52,0.28,0.42,0.6,0.58,0.4,0.42,0.52,0.42,0.4,0.4,0.24,13,7,53,12
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.6,0.54,0.68,0.5,0.26,0.5,0.56,0.34,0.44,0.36,0.28,0.64,0.62,0.72,0.34,0.38,0.62,0.48,0.64,0.42,0.4,0.64,0.4,0.44,0.62,0.32,0.52,0.64,0.22,0.7,0.56,0.16,0.76,0.62,0.6,0.32,0.48,0.64,0.72,0.58,0.62,0.32,0.4,0.52,0.42,0.24,0.4,0.44,0.4,0.56,0.68,0.74,0.34,0.42,0.52,0.6,0.74,0.2,0.46,0.52,0.54,0.7,0.48,0.6,0.62,0.56,0.78,0.42,0.48,0.76,0.48,0.64,0.38,0.76,0.36,0.44,0.66,0.5,0.56,0.58,0.32,0.24,0.44,0.62,0.66,0.32,0.52,0.58,0.46,0.42,0.46,0.32,13,9,53,12
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.62,0.46,0.28,0.36,0.56,0.26,0.58,0.38,0.2,0.68,0.62,0.72,0.4,0.36,0.54,0.52,0.64,0.44,0.48,0.6,0.42,0.42,0.64,0.22,0.56,0.62,0.18,0.7,0.66,0.1,0.74,0.58,0.58,0.28,0.6,0.74,0.64,0.5,0.68,0.3,0.46,0.58,0.44,0.36,0.32,0.38,0.3,0.6,0.72,0.68,0.34,0.56,0.5,0.56,0.7,0.12,0.42,0.5,0.54,0.72,0.48,0.56,0.62,0.58,0.78,0.32,0.56,0.78,0.46,0.66,0.4,0.76,0.36,0.58,0.68,0.48,0.72,0.62,0.34,0.16,0.46,0.7,0.56,0.26,0.48,0.58,0.34,0.48,0.48,0.36,15,11,60,14
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.2,0.32,0.46,0.26,0.5,0.32,0.2,0.58,0.7,0.62,0.54,0.36,0.52,0.46,0.64,0.5,0.42,0.56,0.48,0.4,0.62,0.18,0.6,0.6,0.14,0.72,0.7,0.02,0.7,0.52,0.58,0.38,0.56,0.68,0.66,0.48,0.74,0.38,0.42,0.4,0.4,0.3,0.26,0.32,0.42,0.66,0.7,0.6,0.36,0.64,0.56,0.62,0.76,0.16,0.44,0.38,0.58,0.66,0.54,0.54,0.68,0.72,0.78,0.34,0.42,0.72,0.5,0.66,0.4,0.72,0.26,0.52,0.66,0.5,0.66,0.64,0.28,0.14,0.46,0.72,0.66,0.22,0.46,0.58,0.26,0.62,0.52,0.36,17,11,56,16
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.3,0.3,0.54,0.28,0.56,0.34,0.26,0.56,0.68,0.66,0.5,0.36,0.52,0.38,0.78,0.54,0.46,0.46,0.38,0.44,0.68,0.22,0.52,0.6,0.14,0.64,0.68,0.02,0.8,0.5,0.58,0.4,0.62,0.54,0.66,0.54,0.7,0.34,0.36,0.44,0.38,0.24,0.22,0.46,0.44,0.74,0.66,0.58,0.32,0.6,0.6,0.74,0.74,0.1,0.48,0.38,0.56,0.64,0.36,0.44,0.7,0.7,0.7,0.34,0.44,0.76,0.4,0.64,0.48,0.74,0.3,0.56,0.64,0.48,0.76,0.64,0.2,0.16,0.5,0.68,0.58,0.28,0.48,0.58,0.18,0.58,0.56,0.34,17,11,56,16
0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.4,0.4,0.52,0.26,0.56,0.36,0.3,0.58,0.62,0.62,0.42,0.38,0.5,0.4,0.78,0.52,0.5,0.44,0.38,0.5,0.66,0.2,0.52,0.6,0.14,0.62,0.7,0.02,0.8,0.52,0.56,0.38,0.64,0.54,0.64,0.52,0.66,0.3,0.32,0.4,0.36,0.28,0.24,0.46,0.44,0.74,0.58,0.58,0.36,0.66,0.56,0.74,0.72,0.08,0.5,0.4,0.58,0.64,0.36,0.44,0.72,0.7,0.74,0.34,0.46,0.74,0.44,0.6,0.46,0.78,0.3,0.56,0.62,0.46,0.74,0.66,0.18,0.14,0.48,0.7,0.52,0.24,0.48,0.58,0.16,0.62,0.58,0.36,18,11,57,18
