p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,BestFitness, CurLevel, BestOM, BestLOS
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,72,-1,62,1
0.4,0.42,0.62,0.58,0.54,0.54,0.58,0.48,0.52,0.56,0.62,0.7,0.66,0.5,0.48,0.56,0.5,0.52,0.5,0.54,0.6,0.66,0.52,0.56,0.6,0.54,0.7,0.6,0.56,0.54,0.56,0.54,0.58,0.52,0.48,0.6,0.44,0.58,0.54,0.52,0.58,0.54,0.66,0.66,0.58,0.48,0.56,0.56,0.62,0.54,0.58,0.5,0.58,0.68,0.52,0.66,0.62,0.48,0.48,0.6,0.62,0.56,0.52,0.46,0.44,0.4,0.52,0.42,0.6,0.52,0.52,0.52,0.48,0.4,0.6,0.58,0.38,0.62,0.48,0.5,0.64,0.36,0.5,0.56,0.7,0.5,0.68,0.66,0.7,0.5,0.56,0.58,0.46,0.4,0.56,0.54,0.5,0.46,0.56,0.56,74,-1,64,4
0.36,0.4,0.66,0.68,0.4,0.52,0.64,0.56,0.62,0.52,0.54,0.76,0.74,0.62,0.5,0.52,0.54,0.68,0.56,0.72,0.76,0.7,0.58,0.66,0.6,0.48,0.72,0.66,0.56,0.64,0.7,0.46,0.66,0.58,0.54,0.66,0.52,0.64,0.68,0.62,0.78,0.54,0.78,0.74,0.58,0.58,0.58,0.58,0.66,0.56,0.56,0.52,0.6,0.7,0.56,0.68,0.66,0.5,0.56,0.7,0.66,0.56,0.62,0.68,0.42,0.54,0.6,0.54,0.74,0.56,0.5,0.66,0.48,0.54,0.54,0.68,0.38,0.66,0.44,0.52,0.68,0.36,0.6,0.7,0.74,0.54,0.68,0.66,0.8,0.5,0.68,0.64,0.58,0.4,0.56,0.54,0.6,0.48,0.56,0.62,79,-1,69,0
0.4,0.34,0.76,0.74,0.42,0.52,0.68,0.62,0.72,0.58,0.6,0.86,0.64,0.82,0.4,0.6,0.52,0.68,0.66,0.82,0.84,0.74,0.62,0.64,0.66,0.54,0.68,0.72,0.52,0.7,0.68,0.6,0.68,0.68,0.58,0.72,0.48,0.8,0.78,0.64,0.88,0.58,0.72,0.84,0.66,0.62,0.6,0.7,0.72,0.56,0.68,0.64,0.62,0.7,0.62,0.74,0.74,0.54,0.58,0.7,0.78,0.54,0.6,0.86,0.52,0.5,0.58,0.5,0.92,0.54,0.52,0.72,0.6,0.52,0.7,0.76,0.42,0.7,0.5,0.64,0.68,0.32,0.68,0.84,0.74,0.62,0.74,0.66,0.8,0.6,0.68,0.64,0.6,0.58,0.52,0.56,0.7,0.54,0.44,0.68,87,-1,77,0
0.5,0.28,0.9,0.8,0.5,0.62,0.7,0.62,0.76,0.6,0.74,0.88,0.68,0.8,0.48,0.6,0.56,0.72,0.76,0.78,0.76,0.78,0.64,0.82,0.76,0.6,0.72,0.68,0.56,0.74,0.78,0.68,0.74,0.76,0.7,0.64,0.6,0.86,0.78,0.66,0.92,0.68,0.76,0.92,0.66,0.6,0.72,0.78,0.84,0.58,0.7,0.62,0.64,0.72,0.7,0.74,0.82,0.66,0.74,0.78,0.82,0.7,0.76,0.88,0.48,0.52,0.66,0.52,0.96,0.74,0.54,0.76,0.58,0.6,0.64,0.8,0.42,0.8,0.6,0.72,0.7,0.46,0.78,0.88,0.78,0.66,0.76,0.62,0.8,0.62,0.74,0.6,0.6,0.56,0.58,0.56,0.82,0.56,0.4,0.74,89,-1,79,0
0.54,0.44,0.9,0.86,0.52,0.8,0.8,0.58,0.86,0.68,0.84,0.92,0.68,0.76,0.62,0.72,0.66,0.76,0.88,0.82,0.86,0.78,0.66,0.88,0.8,0.76,0.78,0.62,0.52,0.8,0.9,0.72,0.72,0.82,0.78,0.64,0.6,0.9,0.86,0.68,0.98,0.82,0.84,0.99,0.58,0.62,0.78,0.76,0.94,0.64,0.84,0.56,0.64,0.68,0.72,0.64,0.92,0.76,0.78,0.68,0.86,0.74,0.76,0.96,0.52,0.64,0.72,0.54,0.94,0.82,0.6,0.84,0.54,0.7,0.66,0.84,0.42,0.9,0.68,0.68,0.72,0.52,0.8,0.88,0.92,0.76,0.9,0.68,0.9,0.54,0.8,0.76,0.66,0.5,0.64,0.56,0.86,0.64,0.48,0.82,93,-1,83,3
0.64,0.46,0.92,0.86,0.46,0.82,0.82,0.68,0.86,0.66,0.86,0.96,0.68,0.82,0.66,0.84,0.64,0.82,0.92,0.92,0.92,0.86,0.68,0.94,0.92,0.74,0.84,0.68,0.7,0.84,0.96,0.78,0.84,0.86,0.86,0.74,0.66,0.92,0.82,0.76,0.99,0.82,0.94,0.99,0.6,0.7,0.8,0.92,0.98,0.74,0.94,0.66,0.64,0.7,0.82,0.66,0.94,0.84,0.78,0.74,0.9,0.86,0.7,0.92,0.6,0.68,0.84,0.58,0.88,0.88,0.62,0.78,0.66,0.72,0.62,0.86,0.54,0.9,0.72,0.72,0.78,0.6,0.8,0.88,0.9,0.78,0.92,0.66,0.84,0.52,0.92,0.82,0.66,0.64,0.7,0.56,0.9,0.54,0.54,0.78,98,-1,88,4
0.72,0.6,0.9,0.88,0.4,0.78,0.92,0.66,0.9,0.78,0.8,0.94,0.68,0.82,0.72,0.82,0.74,0.82,0.9,0.92,0.98,0.82,0.72,0.94,0.92,0.82,0.9,0.7,0.84,0.94,0.99,0.78,0.84,0.9,0.92,0.68,0.72,0.98,0.86,0.8,0.99,0.9,0.96,0.98,0.62,0.74,0.82,0.96,0.98,0.82,0.96,0.72,0.68,0.66,0.82,0.86,0.98,0.88,0.88,0.78,0.88,0.98,0.84,0.92,0.78,0.78,0.88,0.64,0.92,0.9,0.74,0.92,0.74,0.88,0.58,0.82,0.62,0.9,0.74,0.72,0.78,0.62,0.84,0.9,0.9,0.9,0.86,0.7,0.92,0.6,0.94,0.86,0.76,0.72,0.78,0.6,0.94,0.56,0.62,0.88,100,-1,90,4
0.78,0.7,0.94,0.9,0.48,0.8,0.98,0.74,0.88,0.82,0.86,0.98,0.66,0.84,0.86,0.92,0.82,0.84,0.9,0.96,0.94,0.82,0.7,0.94,0.94,0.92,0.9,0.9,0.82,0.94,0.98,0.76,0.94,0.92,0.94,0.76,0.68,0.98,0.84,0.82,0.99,0.92,0.99,0.99,0.68,0.8,0.82,0.98,0.98,0.84,0.98,0.78,0.66,0.78,0.9,0.86,0.96,0.92,0.9,0.82,0.88,0.99,0.94,0.98,0.86,0.82,0.9,0.74,0.96,0.86,0.84,0.92,0.86,0.86,0.6,0.84,0.76,0.98,0.8,0.84,0.78,0.66,0.82,0.94,0.94,0.92,0.88,0.72,0.94,0.68,0.96,0.94,0.78,0.68,0.78,0.7,0.9,0.54,0.6,0.98,100,-1,90,4
0.78,0.74,0.98,0.9,0.5,0.9,0.98,0.72,0.96,0.8,0.88,0.94,0.7,0.94,0.94,0.99,0.88,0.84,0.92,0.94,0.98,0.9,0.78,0.96,0.96,0.98,0.88,0.92,0.86,0.96,0.94,0.84,0.9,0.94,0.94,0.82,0.88,0.98,0.94,0.84,0.98,0.96,0.99,0.99,0.72,0.9,0.78,0.99,0.99,0.9,0.99,0.84,0.66,0.86,0.84,0.88,0.98,0.86,0.9,0.86,0.96,0.99,0.96,0.99,0.96,0.86,0.96,0.66,0.99,0.86,0.86,0.94,0.99,0.84,0.64,0.9,0.96,0.99,0.94,0.84,0.8,0.62,0.86,0.9,0.98,0.98,0.94,0.6,0.9,0.68,0.94,0.98,0.86,0.74,0.86,0.78,0.94,0.66,0.58,0.99,100,-1,90,4
