p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,BestFitness, CurLevel, BestOM, BestLOS
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,61,-1,61,1
0.58,0.4,0.44,0.62,0.52,0.64,0.58,0.56,0.6,0.52,0.52,0.6,0.6,0.54,0.7,0.56,0.58,0.48,0.58,0.5,0.6,0.66,0.5,0.5,0.52,0.52,0.52,0.5,0.42,0.44,0.52,0.5,0.58,0.6,0.52,0.52,0.56,0.54,0.6,0.52,0.54,0.6,0.56,0.6,0.58,0.42,0.52,0.48,0.6,0.72,0.58,0.62,0.56,0.58,0.56,0.4,0.6,0.62,0.44,0.62,0.48,0.46,0.56,0.46,0.66,0.72,0.44,0.44,0.64,0.54,0.5,0.56,0.56,0.66,0.56,0.58,0.5,0.4,0.48,0.62,0.54,0.46,0.6,0.52,0.5,0.72,0.52,0.64,0.52,0.5,0.54,0.58,0.5,0.58,0.58,0.52,0.58,0.56,0.58,0.6,64,-1,64,3
0.54,0.4,0.46,0.6,0.52,0.7,0.72,0.68,0.76,0.48,0.62,0.66,0.68,0.58,0.72,0.64,0.6,0.58,0.58,0.5,0.72,0.6,0.52,0.64,0.52,0.5,0.58,0.6,0.44,0.42,0.7,0.52,0.68,0.7,0.58,0.56,0.56,0.66,0.7,0.52,0.6,0.56,0.6,0.72,0.58,0.42,0.46,0.54,0.62,0.8,0.64,0.72,0.62,0.6,0.56,0.46,0.62,0.64,0.54,0.7,0.66,0.48,0.68,0.62,0.62,0.78,0.36,0.42,0.74,0.68,0.6,0.62,0.58,0.72,0.5,0.66,0.52,0.48,0.48,0.8,0.54,0.58,0.64,0.6,0.5,0.62,0.68,0.66,0.56,0.66,0.5,0.68,0.62,0.68,0.62,0.56,0.62,0.62,0.54,0.7,71,-1,71,1
0.54,0.42,0.42,0.66,0.58,0.78,0.72,0.74,0.86,0.5,0.78,0.78,0.64,0.56,0.7,0.82,0.7,0.78,0.64,0.56,0.74,0.6,0.52,0.68,0.6,0.52,0.62,0.66,0.7,0.34,0.78,0.6,0.84,0.66,0.74,0.52,0.66,0.66,0.68,0.6,0.68,0.68,0.64,0.76,0.82,0.48,0.52,0.72,0.56,0.82,0.68,0.86,0.56,0.68,0.56,0.5,0.54,0.7,0.5,0.76,0.78,0.56,0.76,0.54,0.62,0.74,0.38,0.5,0.86,0.72,0.66,0.76,0.64,0.8,0.58,0.72,0.58,0.52,0.58,0.82,0.7,0.74,0.68,0.54,0.6,0.7,0.74,0.62,0.7,0.62,0.4,0.68,0.68,0.64,0.62,0.6,0.76,0.74,0.58,0.78,78,-1,78,2
0.62,0.48,0.62,0.6,0.58,0.86,0.82,0.76,0.8,0.5,0.86,0.7,0.82,0.52,0.7,0.9,0.8,0.88,0.76,0.6,0.7,0.72,0.66,0.74,0.7,0.56,0.68,0.7,0.74,0.4,0.88,0.58,0.84,0.76,0.86,0.6,0.78,0.7,0.7,0.68,0.68,0.88,0.68,0.86,0.86,0.66,0.56,0.72,0.58,0.88,0.62,0.88,0.52,0.76,0.66,0.52,0.6,0.82,0.8,0.88,0.84,0.68,0.8,0.54,0.62,0.72,0.48,0.4,0.9,0.64,0.6,0.72,0.74,0.78,0.68,0.78,0.74,0.5,0.68,0.86,0.62,0.76,0.74,0.52,0.7,0.72,0.76,0.68,0.78,0.7,0.48,0.74,0.78,0.68,0.64,0.66,0.84,0.66,0.62,0.8,80,-1,80,0
0.66,0.62,0.8,0.58,0.54,0.86,0.92,0.86,0.88,0.46,0.84,0.66,0.92,0.6,0.78,0.92,0.72,0.88,0.82,0.7,0.84,0.74,0.72,0.76,0.72,0.62,0.74,0.72,0.76,0.54,0.9,0.6,0.88,0.82,0.92,0.62,0.84,0.74,0.8,0.78,0.78,0.88,0.64,0.9,0.9,0.76,0.72,0.76,0.62,0.92,0.76,0.92,0.58,0.76,0.8,0.68,0.66,0.9,0.8,0.94,0.88,0.66,0.82,0.52,0.7,0.78,0.54,0.4,0.96,0.64,0.68,0.92,0.76,0.64,0.68,0.82,0.86,0.48,0.82,0.94,0.6,0.82,0.74,0.56,0.88,0.74,0.8,0.8,0.84,0.7,0.58,0.74,0.8,0.68,0.78,0.76,0.84,0.8,0.62,0.86,86,-1,86,3
0.72,0.68,0.84,0.64,0.62,0.88,0.98,0.86,0.92,0.66,0.88,0.78,0.96,0.64,0.86,0.92,0.82,0.94,0.94,0.82,0.92,0.84,0.78,0.74,0.8,0.64,0.86,0.76,0.82,0.6,0.88,0.66,0.86,0.84,0.94,0.64,0.9,0.78,0.86,0.86,0.84,0.88,0.58,0.94,0.99,0.78,0.82,0.86,0.66,0.92,0.76,0.94,0.6,0.72,0.86,0.8,0.66,0.94,0.84,0.92,0.9,0.72,0.9,0.56,0.76,0.98,0.64,0.46,0.96,0.64,0.72,0.96,0.94,0.86,0.9,0.88,0.9,0.58,0.86,0.94,0.64,0.8,0.8,0.56,0.9,0.78,0.84,0.8,0.9,0.72,0.48,0.76,0.9,0.78,0.82,0.78,0.88,0.9,0.68,0.9,91,-1,91,32
0.78,0.76,0.84,0.64,0.62,0.96,0.96,0.92,0.96,0.72,0.88,0.9,0.99,0.66,0.92,0.96,0.84,0.98,0.96,0.86,0.98,0.86,0.84,0.7,0.9,0.64,0.88,0.86,0.78,0.68,0.9,0.78,0.88,0.86,0.94,0.64,0.94,0.8,0.88,0.82,0.88,0.96,0.62,0.98,0.99,0.84,0.82,0.88,0.8,0.9,0.76,0.98,0.66,0.66,0.88,0.82,0.82,0.99,0.78,0.9,0.9,0.76,0.96,0.64,0.8,0.96,0.64,0.6,0.98,0.72,0.84,0.98,0.94,0.94,0.99,0.9,0.86,0.64,0.96,0.96,0.76,0.82,0.88,0.62,0.86,0.88,0.94,0.84,0.9,0.84,0.64,0.78,0.92,0.84,0.84,0.82,0.92,0.94,0.72,0.98,95,-1,95,3
0.9,0.92,0.94,0.7,0.66,0.99,0.96,0.98,0.98,0.76,0.92,0.98,0.98,0.74,0.92,0.94,0.86,0.99,0.96,0.92,0.99,0.88,0.82,0.8,0.9,0.8,0.94,0.92,0.84,0.82,0.96,0.9,0.86,0.94,0.98,0.62,0.96,0.84,0.9,0.82,0.96,0.96,0.64,0.96,0.98,0.9,0.78,0.88,0.8,0.99,0.88,0.99,0.74,0.66,0.92,0.9,0.86,0.98,0.82,0.99,0.92,0.94,0.98,0.74,0.9,0.96,0.8,0.68,0.99,0.8,0.88,0.98,0.98,0.96,0.99,0.96,0.9,0.72,0.94,0.94,0.84,0.9,0.92,0.74,0.82,0.96,0.9,0.92,0.92,0.9,0.76,0.9,0.98,0.88,0.94,0.88,0.9,0.98,0.74,0.96,97,-1,97,53
0.98,0.96,0.98,0.7,0.78,0.99,0.98,0.99,0.99,0.76,0.98,0.99,0.99,0.88,0.94,0.94,0.94,0.98,0.96,0.9,0.99,0.92,0.86,0.86,0.94,0.88,0.96,0.94,0.86,0.88,0.96,0.96,0.9,0.96,0.99,0.7,0.99,0.9,0.94,0.78,0.96,0.99,0.76,0.96,0.98,0.9,0.78,0.92,0.84,0.99,0.9,0.99,0.8,0.74,0.96,0.88,0.9,0.98,0.92,0.99,0.94,0.96,0.96,0.8,0.99,0.99,0.9,0.68,0.98,0.9,0.92,0.98,0.96,0.98,0.99,0.94,0.98,0.76,0.99,0.96,0.86,0.9,0.96,0.86,0.88,0.98,0.94,0.94,0.94,0.94,0.84,0.98,0.99,0.96,0.98,0.92,0.92,0.98,0.7,0.98,98,0,98,48
